State,Rate,"Legend Category"
"West Virginia",1193,920-1193
Kentucky,1143,920-1193
Mississippi,1130,920-1193
Louisiana,1110,920-1193
Alabama,1108,920-1193
Tennessee,1046,920-1193
Arkansas,1028,920-1193
Nebraska,920,920-1193
Kansas,882,836-882
Ohio,882,836-882
"South Carolina",874,836-882
Iowa,861,836-882
Indiana,855,836-882
"New York",853,836-882
"New Jersey",844,836-882
Oklahoma,843,836-882
Georgia,836,836-882
"Rhode Island",828,789-828
Michigan,816,789-828
Pennsylvania,806,789-828
Texas,805,789-828
"District of Columbia",798,789-828
Missouri,798,789-828
"Washington DC",798,789-828
Florida,795,789-828
Delaware,794,789-828
"North Carolina",789,789-828
Connecticut,788,696-788
"South Dakota",773,696-788
Illinois,754,696-788
Virginia,751,696-788
Wyoming,738,696-788
Maryland,710,696-788
Massachusetts,696,696-788
"North Dakota",696,696-788
"New Hampshire",688,606-688
Maine,679,606-688
Arizona,670,606-688
Utah,663,606-688
Nevada,654,606-688
"New Mexico",640,606-688
Idaho,625,606-688
Wisconsin,621,606-688
Vermont,606,606-688
Montana,589,447-589
Minnesota,581,447-589
Hawaii,569,447-589
California,519,447-589
Colorado,513,447-589
Washington,507,447-589
Oregon,491,447-589
Alaska,447,447-589
